timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698751169283,500,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,71267,1193,13,13,null,483,3321,0
1698751173187,249,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-8,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,242,0,0
1698751165275,1457,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,71267,1193,13,13,null,1214,6705,729
1698751172269,1220,https://www.isa.org/about-isa,200,OK,Thread Group 1-15,text,true,,35705,501,13,13,https://www.isa.org/about-isa,987,0,726
1698751173439,245,https://www.isa.org/about-isa,200,OK,Thread Group 1-8,text,true,,35705,501,13,13,https://www.isa.org/about-isa,240,0,0
1698751173269,1179,https://www.isa.org/about-isa,200,OK,Thread Group 1-16,text,true,,35705,501,14,14,https://www.isa.org/about-isa,954,0,717
1698751174273,244,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-4,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,241,0,0
1698751169960,527,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,71267,1193,14,14,null,484,4032,0
1698751174381,253,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-10,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,244,0,0
1698751167267,1450,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,71267,1193,13,13,null,1211,5918,725
1698751174637,242,https://www.isa.org/about-isa,200,OK,Thread Group 1-10,text,true,,35705,501,13,13,https://www.isa.org/about-isa,236,0,0
1698751175074,243,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-6,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,238,0,0
1698751171098,508,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,71267,1193,14,14,null,488,3713,0
1698751174269,1210,https://www.isa.org/about-isa,200,OK,Thread Group 1-17,text,true,,35705,501,13,13,https://www.isa.org/about-isa,979,0,728
1698751175269,1263,https://www.isa.org/about-isa,200,OK,Thread Group 1-18,text,true,,35705,501,14,14,https://www.isa.org/about-isa,1016,0,735
1698751176756,265,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-13,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,258,0,0
1698751170268,1577,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-13,,true,,71267,1193,14,14,null,1338,5178,825
1698751177025,272,https://www.isa.org/about-isa,200,OK,Thread Group 1-13,text,true,,35705,501,15,15,https://www.isa.org/about-isa,247,0,0
1698751176270,1270,https://www.isa.org/about-isa,200,OK,Thread Group 1-19,text,true,,35705,501,15,15,https://www.isa.org/about-isa,1034,0,765
1698751177647,281,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-14,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,264,0,0
1698751171267,1488,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-14,,true,,71267,1193,15,15,null,1236,5174,733
1698751177931,270,https://www.isa.org/about-isa,200,OK,Thread Group 1-14,text,true,,35705,501,15,15,https://www.isa.org/about-isa,249,0,0
1698751177983,271,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-7,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,256,0,0
1698751169397,542,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,71267,1193,15,15,null,518,8317,0
1698751177261,1172,https://www.isa.org/about-isa,200,OK,Thread Group 1-20,text,true,,35705,501,15,15,https://www.isa.org/about-isa,938,0,692
1698751178210,278,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-12,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,266,0,0
1698751169268,1484,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-12,,true,,71267,1193,15,15,null,1239,7738,727
1698751178491,275,https://www.isa.org/about-isa,200,OK,Thread Group 1-12,text,true,,35705,501,15,15,https://www.isa.org/about-isa,251,0,0
1698751178550,259,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-11,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,250,0,0
1698751172637,516,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-11,,true,,71267,1193,15,15,null,490,5657,0
1698751178658,282,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-15,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,269,0,0
1698751172267,1502,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-15,,true,,71267,1193,14,14,null,1256,5173,726
1698751178944,267,https://www.isa.org/about-isa,200,OK,Thread Group 1-15,text,true,,35705,501,14,14,https://www.isa.org/about-isa,260,0,0
1698751179067,260,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-10,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,249,0,0
1698751174636,502,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,71267,1193,15,15,null,485,4190,0
1698751178262,1288,https://www.isa.org/about-isa,200,OK,Thread Group 1-21,text,true,,35705,501,14,14,https://www.isa.org/about-isa,1041,0,776
1698751179990,308,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-9,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,305,0,0
1698751171814,585,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,71267,1193,15,15,null,570,7900,0
1698751179263,1252,https://www.isa.org/about-isa,200,OK,Thread Group 1-22,text,true,,35705,501,14,14,https://www.isa.org/about-isa,1023,0,713
1698751180429,271,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-5,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,258,0,0
1698751172192,531,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,71267,1193,14,14,null,511,7978,0
1698751180533,268,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-8,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,257,0,0
